category,topic,tier
Physics,Black hole,mainstream
Physics,Quantum mechanics,mainstream
Physics,Theory of relativity,mainstream
Physics,Gravity,mainstream
Physics,Electromagnetism,mainstream
Physics,Thermodynamics,mainstream
Physics,Energy,mainstream
Physics,Light,mainstream
Physics,Sound,mainstream
Physics,Atom,mainstream
Physics,Nuclear fusion,mainstream
Physics,Nuclear fission,mainstream
Physics,Radioactive decay,mainstream
Physics,Magnetism,mainstream
Physics,Electricity,mainstream
Physics,Wave,mainstream
Physics,Speed of light,mainstream
Physics,Big Bang,mainstream
Physics,String theory,mainstream
Physics,Antimatter,mainstream
Physics,Dark matter,mainstream
Physics,Dark energy,mainstream
Physics,Higgs boson,mainstream
Physics,Standard Model,mainstream
Physics,Superconductivity,mainstream
Physics,Entropy,mainstream
Physics,Schrödinger's cat,mainstream
Physics,Heisenberg uncertainty principle,mainstream
Physics,Quantum entanglement,mainstream
Physics,Wave–particle duality,deepcut
Physics,Double-slit experiment,deepcut
Physics,Casimir effect,deepcut
Physics,Quantum tunnelling,deepcut
Physics,Bose–Einstein condensate,deepcut
Physics,Quark,deepcut
Physics,Neutrino,deepcut
Physics,Photon,deepcut
Physics,Plasma (physics),deepcut
Physics,Superfluidity,deepcut
Physics,Quantum field theory,deepcut
Physics,General relativity,deepcut
Physics,Special relativity,deepcut
Physics,Time dilation,deepcut
Physics,Wormhole,deepcut
Physics,Hawking radiation,deepcut
Physics,Event horizon,deepcut
Physics,Spacetime,deepcut
Physics,Quantum gravity,deepcut
Physics,Brownian motion,deepcut
Physics,Chaos theory,deepcut
Physics,Doppler effect,deepcut
Physics,Resonance,deepcut
Physics,Centrifugal force,deepcut
Physics,Coriolis force,deepcut
Physics,Maxwell's demon,deepcut
Physics,Cherenkov radiation,deepcut
Physics,Quantum computing,mainstream
Physics,Laser,mainstream
Chemistry,Periodic table,mainstream
Chemistry,Chemical element,mainstream
Chemistry,Molecule,mainstream
Chemistry,Chemical reaction,mainstream
Chemistry,Acid,mainstream
Chemistry,Base (chemistry),mainstream
Chemistry,Catalysis,mainstream
Chemistry,Oxygen,mainstream
Chemistry,Hydrogen,mainstream
Chemistry,Carbon,mainstream
Chemistry,Water,mainstream
Chemistry,Salt,mainstream
Chemistry,Metal,mainstream
Chemistry,Gold,mainstream
Chemistry,Oxidation,mainstream
Chemistry,Combustion,mainstream
Chemistry,Polymer,mainstream
Chemistry,Plastic,mainstream
Chemistry,Organic chemistry,mainstream
Chemistry,Chemical bond,mainstream
Chemistry,Ion,mainstream
Chemistry,Electron,mainstream
Chemistry,pH,mainstream
Chemistry,Alloy,mainstream
Chemistry,Crystal,mainstream
Chemistry,Diamond,mainstream
Chemistry,Carbon dioxide,mainstream
Chemistry,Ammonia,mainstream
Chemistry,Ethanol,mainstream
Chemistry,Caffeine,mainstream
Chemistry,Periodic trends,deepcut
Chemistry,Allotropes of carbon,deepcut
Chemistry,Noble gas,deepcut
Chemistry,Halogen,deepcut
Chemistry,Isotope,deepcut
Chemistry,Avogadro constant,deepcut
Chemistry,Mole (unit),deepcut
Chemistry,Stoichiometry,deepcut
Chemistry,Electronegativity,deepcut
Chemistry,Covalent bond,deepcut
Chemistry,Ionic bond,deepcut
Chemistry,Hydrogen bond,deepcut
Chemistry,Chirality (chemistry),deepcut
Chemistry,Benzene,deepcut
Chemistry,Buckminsterfullerene,deepcut
Chemistry,Graphene,deepcut
Chemistry,Aerogel,deepcut
Chemistry,Thermite,deepcut
Chemistry,Electrolysis,deepcut
Chemistry,Chromatography,deepcut
Chemistry,Spectroscopy,deepcut
Chemistry,Alchemy,mainstream
Chemistry,Radiocarbon dating,deepcut
Chemistry,Maillard reaction,deepcut
Chemistry,Superacid,deepcut
Chemistry,Phosphorescence,deepcut
Biology,Evolution,mainstream
Biology,Natural selection,mainstream
Biology,DNA,mainstream
Biology,Cell (biology),mainstream
Biology,Gene,mainstream
Biology,Genetics,mainstream
Biology,Photosynthesis,mainstream
Biology,Bacteria,mainstream
Biology,Virus,mainstream
Biology,Ecosystem,mainstream
Biology,Mitochondrion,mainstream
Biology,Protein,mainstream
Biology,Enzyme,mainstream
Biology,Immune system,mainstream
Biology,Brain,mainstream
Biology,Neuron,mainstream
Biology,Heart,mainstream
Biology,Blood,mainstream
Biology,Mutation,mainstream
Biology,Chromosome,mainstream
Biology,Stem cell,mainstream
Biology,Microbiome,mainstream
Biology,Extinction,mainstream
Biology,Biodiversity,mainstream
Biology,Symbiosis,mainstream
Biology,Metabolism,mainstream
Biology,Reproduction,mainstream
Biology,Cancer,mainstream
Biology,Aging,mainstream
Biology,CRISPR,mainstream
Biology,Genome,mainstream
Biology,RNA,deepcut
Biology,Ribosome,deepcut
Biology,Mitosis,deepcut
Biology,Meiosis,deepcut
Biology,Apoptosis,deepcut
Biology,Epigenetics,deepcut
Biology,Horizontal gene transfer,deepcut
Biology,Convergent evolution,deepcut
Biology,Endosymbiosis,deepcut
Biology,Tardigrade,deepcut
Biology,Slime mold,deepcut
Biology,Mycelium,deepcut
Biology,Lichen,deepcut
Biology,Extremophile,deepcut
Biology,Bioluminescence,deepcut
Biology,Mimicry,deepcut
Biology,Eusociality,deepcut
Biology,Circadian rhythm,deepcut
Biology,Homeostasis,deepcut
Biology,Telomere,deepcut
Biology,Plasmid,deepcut
Biology,Phylogenetics,deepcut
Biology,Cambrian explosion,deepcut
Biology,Cellular respiration,deepcut
Biology,Octopus,mainstream
Biology,Axolotl,deepcut
Biology,Coral reef,mainstream
Astronomy,Solar System,mainstream
Astronomy,Sun,mainstream
Astronomy,Moon,mainstream
Astronomy,Mars,mainstream
Astronomy,Jupiter,mainstream
Astronomy,Saturn,mainstream
Astronomy,Venus,mainstream
Astronomy,Mercury (planet),mainstream
Astronomy,Neptune,mainstream
Astronomy,Uranus,mainstream
Astronomy,Pluto,mainstream
Astronomy,Galaxy,mainstream
Astronomy,Milky Way,mainstream
Astronomy,Star,mainstream
Astronomy,Supernova,mainstream
Astronomy,Comet,mainstream
Astronomy,Asteroid,mainstream
Astronomy,Meteorite,mainstream
Astronomy,Nebula,mainstream
Astronomy,Exoplanet,mainstream
Astronomy,Universe,mainstream
Astronomy,Cosmic microwave background,mainstream
Astronomy,Neutron star,mainstream
Astronomy,Andromeda Galaxy,mainstream
Astronomy,International Space Station,mainstream
Astronomy,Hubble Space Telescope,mainstream
Astronomy,James Webb Space Telescope,mainstream
Astronomy,Apollo 11,mainstream
Astronomy,Voyager 1,mainstream
Astronomy,Eclipse,mainstream
Astronomy,Pulsar,deepcut
Astronomy,Quasar,deepcut
Astronomy,White dwarf,deepcut
Astronomy,Red giant,deepcut
Astronomy,Magnetar,deepcut
Astronomy,Kuiper belt,deepcut
Astronomy,Oort cloud,deepcut
Astronomy,Asteroid belt,deepcut
Astronomy,Solar wind,deepcut
Astronomy,Aurora,deepcut
Astronomy,Gravitational wave,deepcut
Astronomy,Accretion disk,deepcut
Astronomy,Dwarf planet,deepcut
Astronomy,Europa (moon),deepcut
Astronomy,Titan (moon),deepcut
Astronomy,Enceladus,deepcut
Astronomy,Great Red Spot,deepcut
Astronomy,Drake equation,deepcut
Astronomy,Fermi paradox,deepcut
Astronomy,Dyson sphere,deepcut
Astronomy,Goldilocks zone,deepcut
Astronomy,Light-year,deepcut
Astronomy,Redshift,deepcut
Astronomy,Cosmic inflation,deepcut
Astronomy,Tidal locking,deepcut
Astronomy,Roche limit,deepcut
Earth Science,Plate tectonics,mainstream
Earth Science,Earthquake,mainstream
Earth Science,Volcano,mainstream
Earth Science,Tsunami,mainstream
Earth Science,Hurricane,mainstream
Earth Science,Tornado,mainstream
Earth Science,Climate change,mainstream
Earth Science,Glacier,mainstream
Earth Science,Ice age,mainstream
Earth Science,Ocean,mainstream
Earth Science,Atmosphere of Earth,mainstream
Earth Science,Weather,mainstream
Earth Science,Rock (geology),mainstream
Earth Science,Mineral,mainstream
Earth Science,Fossil,mainstream
Earth Science,Geyser,mainstream
Earth Science,Cave,mainstream
Earth Science,Desert,mainstream
Earth Science,Rainforest,mainstream
Earth Science,Erosion,mainstream
Earth Science,Water cycle,mainstream
Earth Science,Carbon cycle,mainstream
Earth Science,Greenhouse effect,mainstream
Earth Science,Ozone layer,mainstream
Earth Science,El Niño,mainstream
Earth Science,Geology,mainstream
Earth Science,Lightning,mainstream
Earth Science,Rainbow,mainstream
Earth Science,Magnetosphere,deepcut
Earth Science,Mantle (geology),deepcut
Earth Science,Earth's inner core,deepcut
Earth Science,Subduction,deepcut
Earth Science,Continental drift,deepcut
Earth Science,Pangaea,deepcut
Earth Science,Supercontinent,deepcut
Earth Science,Mid-ocean ridge,deepcut
Earth Science,Hotspot (geology),deepcut
Earth Science,Caldera,deepcut
Earth Science,Stalactite,deepcut
Earth Science,Karst,deepcut
Earth Science,Permafrost,deepcut
Earth Science,Aquifer,deepcut
Earth Science,Geomagnetic reversal,deepcut
Earth Science,Milankovitch cycles,deepcut
Earth Science,Thermohaline circulation,deepcut
Earth Science,Jet stream,deepcut
Earth Science,Monsoon,deepcut
Earth Science,Ball lightning,deepcut
Earth Science,Bioluminescent waves,deepcut
Earth Science,Sinkhole,deepcut
Earth Science,Tide,deepcut
Earth Science,Geode,deepcut
Earth Science,Snowflake,deepcut
Mathematics,Pi,mainstream
Mathematics,Prime number,mainstream
Mathematics,Infinity,mainstream
Mathematics,Fibonacci sequence,mainstream
Mathematics,Golden ratio,mainstream
Mathematics,Pythagorean theorem,mainstream
Mathematics,Calculus,mainstream
Mathematics,Geometry,mainstream
Mathematics,Algebra,mainstream
Mathematics,Probability,mainstream
Mathematics,Statistics,mainstream
Mathematics,Fractal,mainstream
Mathematics,Zero,mainstream
Mathematics,Imaginary number,mainstream
Mathematics,Logarithm,mainstream
Mathematics,Number theory,mainstream
Mathematics,Topology,mainstream
Mathematics,Set theory,mainstream
Mathematics,Game theory,mainstream
Mathematics,Chaos theory,mainstream
Mathematics,Euler's identity,deepcut
Mathematics,Mandelbrot set,deepcut
Mathematics,Riemann hypothesis,deepcut
Mathematics,Goldbach's conjecture,deepcut
Mathematics,Fermat's Last Theorem,deepcut
Mathematics,Collatz conjecture,deepcut
Mathematics,Gödel's incompleteness theorems,deepcut
Mathematics,Cantor's diagonal argument,deepcut
Mathematics,Continuum hypothesis,deepcut
Mathematics,P versus NP problem,deepcut
Mathematics,Four color theorem,deepcut
Mathematics,Monty Hall problem,deepcut
Mathematics,Birthday problem,deepcut
Mathematics,Banach–Tarski paradox,deepcut
Mathematics,Zeno's paradoxes,deepcut
Mathematics,Möbius strip,deepcut
Mathematics,Klein bottle,deepcut
Mathematics,Tessellation,deepcut
Mathematics,Non-Euclidean geometry,deepcut
Mathematics,Knot theory,deepcut
Mathematics,Graph theory,deepcut
Mathematics,Combinatorics,deepcut
Mathematics,Bayes' theorem,deepcut
Mathematics,Normal distribution,deepcut
Mathematics,Pascal's triangle,deepcut
Mathematics,Euclidean geometry,deepcut
Mathematics,Cryptography,mainstream
Mathematics,Cellular automaton,deepcut
Mathematics,Conway's Game of Life,deepcut
Mathematics,Hilbert's problems,deepcut
Mathematics,Transcendental number,deepcut
Computer Science,Algorithm,mainstream
Computer Science,Artificial intelligence,mainstream
Computer Science,Machine learning,mainstream
Computer Science,Neural network,mainstream
Computer Science,Deep learning,mainstream
Computer Science,Programming language,mainstream
Computer Science,Computer,mainstream
Computer Science,Internet,mainstream
Computer Science,World Wide Web,mainstream
Computer Science,Encryption,mainstream
Computer Science,Database,mainstream
Computer Science,Operating system,mainstream
Computer Science,Binary number,mainstream
Computer Science,Data structure,mainstream
Computer Science,Computer virus,mainstream
Computer Science,Cloud computing,mainstream
Computer Science,Blockchain,mainstream
Computer Science,Cryptocurrency,mainstream
Computer Science,Quantum computing,mainstream
Computer Science,Computer vision,mainstream
Computer Science,Natural language processing,mainstream
Computer Science,Large language model,mainstream
Computer Science,Open-source software,mainstream
Computer Science,Computer programming,mainstream
Computer Science,Turing machine,deepcut
Computer Science,Turing test,deepcut
Computer Science,Halting problem,deepcut
Computer Science,Big O notation,deepcut
Computer Science,Recursion,deepcut
Computer Science,Sorting algorithm,deepcut
Computer Science,Hash function,deepcut
Computer Science,Public-key cryptography,deepcut
Computer Science,Compiler,deepcut
Computer Science,Moore's law,deepcut
Computer Science,Von Neumann architecture,deepcut
Computer Science,Boolean algebra,deepcut
Computer Science,Logic gate,deepcut
Computer Science,Distributed computing,deepcut
Computer Science,Computational complexity theory,deepcut
Computer Science,Cellular automaton,deepcut
Computer Science,Genetic algorithm,deepcut
Computer Science,Reinforcement learning,deepcut
Computer Science,Transformer (deep learning architecture),deepcut
Computer Science,Backpropagation,deepcut
Computer Science,Garbage collection (computer science),deepcut
Computer Science,Functional programming,deepcut
Computer Science,Quine (computing),deepcut
Computer Science,Rubber duck debugging,deepcut
Computer Science,Dijkstra's algorithm,deepcut
Computer Science,ENIAC,deepcut
Computer Science,Ada Lovelace,mainstream
Computer Science,Alan Turing,mainstream
Technology,Steam engine,mainstream
Technology,Printing press,mainstream
Technology,Electricity,mainstream
Technology,Telephone,mainstream
Technology,Radio,mainstream
Technology,Television,mainstream
Technology,Automobile,mainstream
Technology,Airplane,mainstream
Technology,Rocket,mainstream
Technology,Nuclear reactor,mainstream
Technology,Solar panel,mainstream
Technology,Wind turbine,mainstream
Technology,Battery (electricity),mainstream
Technology,Semiconductor,mainstream
Technology,Transistor,mainstream
Technology,Integrated circuit,mainstream
Technology,Microprocessor,mainstream
Technology,Robot,mainstream
Technology,Drone,mainstream
Technology,Satellite,mainstream
Technology,GPS,mainstream
Technology,Smartphone,mainstream
Technology,3D printing,mainstream
Technology,Electric vehicle,mainstream
Technology,Virtual reality,mainstream
Technology,Augmented reality,mainstream
Technology,Internet of things,mainstream
Technology,Nanotechnology,mainstream
Technology,Genetic engineering,mainstream
Technology,Renewable energy,mainstream
Technology,Maglev,deepcut
Technology,Fiber-optic communication,deepcut
Technology,Lithium-ion battery,deepcut
Technology,Hydrogen fuel cell,deepcut
Technology,Photovoltaics,deepcut
Technology,Geothermal energy,deepcut
Technology,Nuclear fusion power,deepcut
Technology,Carbon capture and storage,deepcut
Technology,Desalination,deepcut
Technology,Cryonics,deepcut
Technology,Exoskeleton,deepcut
Technology,Brain–computer interface,deepcut
Technology,Quantum cryptography,deepcut
Technology,Lidar,deepcut
Technology,Radar,deepcut
Technology,Sonar,deepcut
Technology,Holography,deepcut
Technology,Vacuum tube,deepcut
Technology,Difference engine,deepcut
Technology,Antikythera mechanism,deepcut
Technology,Solar sail,deepcut
Technology,Ion thruster,deepcut
Technology,Internal combustion engine,deepcut
Technology,Jet engine,deepcut
Medicine,Vaccine,mainstream
Medicine,Antibiotic,mainstream
Medicine,Penicillin,mainstream
Medicine,Surgery,mainstream
Medicine,Anesthesia,mainstream
Medicine,Insulin,mainstream
Medicine,Blood transfusion,mainstream
Medicine,Organ transplantation,mainstream
Medicine,X-ray,mainstream
Medicine,MRI,mainstream
Medicine,Chemotherapy,mainstream
Medicine,Antibody,mainstream
Medicine,Diabetes,mainstream
Medicine,Hypertension,mainstream
Medicine,Tuberculosis,mainstream
Medicine,Malaria,mainstream
Medicine,Influenza,mainstream
Medicine,Smallpox,mainstream
Medicine,HIV/AIDS,mainstream
Medicine,Alzheimer's disease,mainstream
Medicine,Parkinson's disease,mainstream
Medicine,Stroke,mainstream
Medicine,Antiseptic,mainstream
Medicine,Stethoscope,mainstream
Medicine,Pandemic,mainstream
Medicine,Epidemiology,mainstream
Medicine,Immunization,mainstream
Medicine,Antibiotic resistance,mainstream
Medicine,Placebo,mainstream
Medicine,Germ theory of disease,deepcut
Medicine,Hippocratic Oath,deepcut
Medicine,Black Death,mainstream
Medicine,Spanish flu,deepcut
Medicine,Vaccination,deepcut
Medicine,Immunotherapy,deepcut
Medicine,Gene therapy,deepcut
Medicine,Antibody-drug conjugate,deepcut
Medicine,Phantom limb,deepcut
Medicine,Placebo effect,deepcut
Medicine,Nocebo,deepcut
Medicine,Trepanning,deepcut
Medicine,Bloodletting,deepcut
Medicine,Humorism,deepcut
Medicine,Defibrillation,deepcut
Medicine,Dialysis,deepcut
Medicine,Pacemaker,deepcut
Medicine,Prosthesis,deepcut
Medicine,Antidepressant,deepcut
Medicine,Microbiome,deepcut
Medicine,Synesthesia,deepcut
Medicine,Cesarean section,deepcut
Medicine,Vaccine hesitancy,deepcut
Medicine,Antimicrobial resistance,deepcut
Psychology,Memory,mainstream
Psychology,Consciousness,mainstream
Psychology,Emotion,mainstream
Psychology,Intelligence,mainstream
Psychology,Personality,mainstream
Psychology,Dream,mainstream
Psychology,Sleep,mainstream
Psychology,Cognition,mainstream
Psychology,Perception,mainstream
Psychology,Motivation,mainstream
Psychology,Depression (mood),mainstream
Psychology,Anxiety,mainstream
Psychology,Stress (biology),mainstream
Psychology,Phobia,mainstream
Psychology,Addiction,mainstream
Psychology,Empathy,mainstream
Psychology,Cognitive bias,mainstream
Psychology,Placebo,mainstream
Psychology,Hypnosis,mainstream
Psychology,Sigmund Freud,mainstream
Psychology,Carl Jung,mainstream
Psychology,Behaviorism,mainstream
Psychology,Psychoanalysis,mainstream
Psychology,Conditioning,deepcut
Psychology,Classical conditioning,deepcut
Psychology,Operant conditioning,deepcut
Psychology,Pavlovian conditioning,deepcut
Psychology,Maslow's hierarchy of needs,mainstream
Psychology,Cognitive dissonance,deepcut
Psychology,Confirmation bias,deepcut
Psychology,Dunning–Kruger effect,deepcut
Psychology,Placebo effect,deepcut
Psychology,Stanford prison experiment,deepcut
Psychology,Milgram experiment,deepcut
Psychology,Bystander effect,deepcut
Psychology,Pareidolia,deepcut
Psychology,Déjà vu,deepcut
Psychology,Flow (psychology),deepcut
Psychology,Imposter syndrome,deepcut
Psychology,Stockholm syndrome,deepcut
Psychology,Gaslighting,deepcut
Psychology,Groupthink,deepcut
Psychology,Halo effect,deepcut
Psychology,Placebo button,deepcut
Psychology,Mere-exposure effect,deepcut
Psychology,Cocktail party effect,deepcut
Psychology,Phantom vibration syndrome,deepcut
Psychology,Mirror neuron,deepcut
Psychology,Lucid dream,deepcut
Psychology,Attachment theory,deepcut
Psychology,Big Five personality traits,deepcut
Psychology,Mindfulness,mainstream
History,Roman Empire,mainstream
History,Ancient Egypt,mainstream
History,Ancient Greece,mainstream
History,World War I,mainstream
History,World War II,mainstream
History,French Revolution,mainstream
History,American Revolution,mainstream
History,Industrial Revolution,mainstream
History,Renaissance,mainstream
History,Middle Ages,mainstream
History,Cold War,mainstream
History,Roman Republic,mainstream
History,Byzantine Empire,mainstream
History,Ottoman Empire,mainstream
History,Mongol Empire,mainstream
History,Crusades,mainstream
History,Black Death,mainstream
History,Age of Discovery,mainstream
History,Vikings,mainstream
History,Aztecs,mainstream
History,Maya civilization,mainstream
History,Inca Empire,mainstream
History,Ancient Rome,mainstream
History,Mesopotamia,mainstream
History,Great Depression,mainstream
History,Russian Revolution,mainstream
History,Scientific Revolution,mainstream
History,The Enlightenment,mainstream
History,Apartheid,mainstream
History,Silk Road,mainstream
History,Library of Alexandria,deepcut
History,Code of Hammurabi,deepcut
History,Rosetta Stone,deepcut
History,Terracotta Army,deepcut
History,Hanseatic League,deepcut
History,Bronze Age collapse,deepcut
History,Indus Valley Civilisation,deepcut
History,Göbekli Tepe,deepcut
History,Pax Romana,deepcut
History,Fall of Constantinople,deepcut
History,Hundred Years' War,deepcut
History,Thirty Years' War,deepcut
History,Spanish Inquisition,deepcut
History,Salem witch trials,deepcut
History,Boston Tea Party,deepcut
History,Magna Carta,deepcut
History,Gunpowder Plot,deepcut
History,Defenestrations of Prague,deepcut
History,Atlantic slave trade,deepcut
History,Meiji Restoration,deepcut
History,Partition of India,deepcut
History,Cuban Missile Crisis,deepcut
History,Manhattan Project,deepcut
History,Berlin Wall,deepcut
History,Trail of Tears,deepcut
History,Spartacus,deepcut
History,Genghis Khan,mainstream
History,Cleopatra,deepcut
Philosophy,Stoicism,mainstream
Philosophy,Existentialism,mainstream
Philosophy,Ethics,mainstream
Philosophy,Logic,mainstream
Philosophy,Metaphysics,mainstream
